Designator,Mid X,Mid Y,Rotation,Layer
BATTP1,122.0,-85.5,90.0,top
BMS1,121.8625,-89.95,0.0,top
C1,83.0,-88.5,180.0,top
C10,118.5,-79.5,180.0,top
C11,137.225,-71.0,0.0,top
C12,121.5,-63.0,0.0,top
C13,135.5,-66.5,0.0,top
C14,124.0,-76.0,0.0,top
C2,137.0,-81.0,180.0,top
C5,137.0,-68.5,180.0,top
C6,124.0,-67.5,270.0,top
C7,119.0,-73.5,0.0,top
C8,128.5,-75.0,180.0,top
C9,128.0,-82.0,0.0,top
CHRG1,131.25,-65.25,180.0,top
HAPTIC1,134.0,-77.0,0.0,top
LDO1,119.5,-67.5,0.0,top
R10,127.5,-66.0,0.0,top
R11,132.0,-81.5,90.0,top
R12,125.0,-63.0,0.0,top
R13,134.5,-73.5,90.0,top
R2,98.0,-85.5,90.0,top
R3,118.5,-77.0,0.0,top
R4,127.5,-80.0,180.0,top
R5,127.5,-77.5,0.0,top
R6,127.0,-86.0,90.0,top
R7,121.0,-82.0,180.0,top
R8,123.0,-79.5,0.0,top
R9,132.0,-70.325,270.0,top
